ID,Source,Geolocation,Location,State,Sightning date,Post date,Abund,Size,Ecological relation/Other strandings,Human interaction/Accident,Age,Sex,Site,URL 1,URL 2,URL 3,URL 4,URL 5
151,SM,Praia do Rosa - Imbituba - Sc,,SC,,2/5/2019,,,,,,,,https://www.instagram.com/p/BtgWzUxh398/,,,,
152,SM,Península de Maraú,,BA,,2/7/2019,,,,,,,,https://www.instagram.com/p/BtmIW_AF5ok/,,,,
153,SM,Porto de Galinhas,,PE,,2/11/2019,,,,,,,,https://www.instagram.com/p/Btwm0aPnztU/,,,,
154,SM,,"Praia da Bombaça, Barra Grande, Península de Maraú",BA,,2/18/2019,,,,,,,,https://www.instagram.com/p/BuCdNeHgdhC/,,,,
155,SM,Praia do Moçambique.,,SC,,2/21/2019,,,,,,,,https://www.instagram.com/p/BuJZouTgmLc/,,,,
156,SM,Boa Viagem Beach,,PE,,2/23/2019,,,,,,,,https://www.instagram.com/p/BuOPePkAmSf/,,,,
157,SM,Orla da Atalaia Aracaju-SE,,SE,,2/26/2019,,,,,,,,https://www.instagram.com/p/BuWry0GAz-R/,,,,
158,SM,Praia Do Cardoso - Farol De Santa Marta / SC,,SC,,2/26/2019,,10-15 cm,,,,,,https://www.instagram.com/p/BuV9LBjF9Yk/,,,,
159,SM,Condomínio Jóia do Atlântico,Bahia,BA,,2/27/2019,,,,,,,,https://www.instagram.com/p/BtIvd2yhoe2/,,,,
160,SM,Alagoas,"Jequia, Dunas do Marapé",AL,,3/31/2019,,,,,,,,https://www.instagram.com/p/Bvsby43nrFX/,,,,
161,SM,Aracaju,,SE,,4/30/2019,,,,,,,,https://www.instagram.com/p/Bw45Wgyh3zm/,,,,
162,SM,,"Praia de Pau Amarelo, Pernambuco",PE,,5/18/2019,,,,,,,,https://www.instagram.com/p/BylUVzDBKwt/,,,,
163,SM,Praia de Ponta Negra - Morro do Careca,,RN,,5/22/2019,,,,,,,,https://www.instagram.com/p/BxxlU5VB6vS/,,,,
164,SM,"Praia Rasa, Buzios - Rio de Janeiro",,RJ,,6/13/2019,,,,,,,,https://www.instagram.com/p/BypwoxgA8Zt/,,,,
165,SM,pedra do Anel - Itamaracá,,PE,,6/24/2019,,,,,,,,https://www.instagram.com/p/BzGiQs_lmtY/,,,,
166,SM,"Piedade, Pernambuco, Brazil",,PE,,6/30/2019,10+,,,,,,,https://www.instagram.com/p/BzWhPmHnKwi/,,,,
167,SM,"Barrinha, Piaui, Brazil",,PI,,8/5/2019,,,,,,,,https://www.instagram.com/p/B0x4hp2Dgfs/,,,,
168,SM,Reserva Biológica Da Raia Do Sul,Angra dos Reis,RJ,,8/6/2019,,,,,,,,https://www.instagram.com/p/B01-D5XlI5j/,,,,
169,SM,,"Carneiros, Pernambuco",PE,,8/12/2019,,,,,,,,https://www.instagram.com/p/B1Fgb49pJHO/,,,,
170,SM,"Carpina, Pernambuco, Brazil",,PE,,8/25/2019,,,,,,,,https://www.instagram.com/p/B1l5JbIlJNL/,,,,
171,SM,São Luís,,MA,,8/31/2019,,,,,,,,https://www.instagram.com/p/B11AoUngF6U/,,,,
172,SM,,Peruíbe,SP,,9/9/2019,,,,,,,,https://www.instagram.com/p/B2MC09FBkOe/,,,,
173,SM,Praia do Amor,,RN,,9/16/2019,,10 cm,,touching/ holding the jellyfish,,M,,https://www.instagram.com/p/B2ef6dfJLjW/,,,,
174,SM,João Pessoa,,PB,9/21/2019 0:00,9/23/2019,,,,1 accident,,F,leg,https://www.instagram.com/p/B2wF1OdgNWN/,,,,
